Strain ID	PseudoCAP version	Full organism name	Species	Strain	Number of genes	Assembly level	Biosample accession	Host taxonomic name	Host common name	Host taxonomy ID	Host NCBI taxonomy record	Assembly name	Refseq assembly accession	Number of scaffolds	Scaffold N50	Contig count	Contig N50	Download URL root	Genomic DNA fasta - file name	ORF DNA fasta - file name	Intergenic DNA (fasta) - file name	Amonio acid sequences (fasta) - file name	Tab-delimited annotations - file name	CSV format annotations - file name	GBK format annotations - file name	EMBL format annotations - file name	GFF3 annotations - file name	GFF3 annotations + genomic DNA sequence - file name	GTF format annotations (genes) - file name	GTF format annotations (genes and intergenic) - file name
2397	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12151	Pseudomonas aeruginosa	AZPAE12151	5849	Contig	SAMN03105394	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12151	GCF_000796875.1			95	186873	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12151_2397	Pseudomonas_aeruginosa_AZPAE12151_2397.fna	Pseudomonas_aeruginosa_AZPAE12151_2397.ffn	Pseudomonas_aeruginosa_AZPAE12151_2397_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12151_2397.faa	Pseudomonas_aeruginosa_AZPAE12151_2397.txt	Pseudomonas_aeruginosa_AZPAE12151_2397.csv	Pseudomonas_aeruginosa_AZPAE12151_2397.gbk	Pseudomonas_aeruginosa_AZPAE12151_2397.embl	Pseudomonas_aeruginosa_AZPAE12151_2397.gff	Pseudomonas_aeruginosa_AZPAE12151_2397_seq.gff	Pseudomonas_aeruginosa_AZPAE12151_2397.gtf	Pseudomonas_aeruginosa_AZPAE12151_2397_genes_and_intergenic.gtf
2396	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12150	Pseudomonas aeruginosa	AZPAE12150	6173	Contig	SAMN03105393	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12150	GCF_000796865.1			159	122199	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12150_2396	Pseudomonas_aeruginosa_AZPAE12150_2396.fna	Pseudomonas_aeruginosa_AZPAE12150_2396.ffn	Pseudomonas_aeruginosa_AZPAE12150_2396_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12150_2396.faa	Pseudomonas_aeruginosa_AZPAE12150_2396.txt	Pseudomonas_aeruginosa_AZPAE12150_2396.csv	Pseudomonas_aeruginosa_AZPAE12150_2396.gbk	Pseudomonas_aeruginosa_AZPAE12150_2396.embl	Pseudomonas_aeruginosa_AZPAE12150_2396.gff	Pseudomonas_aeruginosa_AZPAE12150_2396_seq.gff	Pseudomonas_aeruginosa_AZPAE12150_2396.gtf	Pseudomonas_aeruginosa_AZPAE12150_2396_genes_and_intergenic.gtf
2395	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12148	Pseudomonas aeruginosa	AZPAE12148	6164	Contig	SAMN03105391	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12148	GCF_000796825.1			86	234239	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12148_2395	Pseudomonas_aeruginosa_AZPAE12148_2395.fna	Pseudomonas_aeruginosa_AZPAE12148_2395.ffn	Pseudomonas_aeruginosa_AZPAE12148_2395_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12148_2395.faa	Pseudomonas_aeruginosa_AZPAE12148_2395.txt	Pseudomonas_aeruginosa_AZPAE12148_2395.csv	Pseudomonas_aeruginosa_AZPAE12148_2395.gbk	Pseudomonas_aeruginosa_AZPAE12148_2395.embl	Pseudomonas_aeruginosa_AZPAE12148_2395.gff	Pseudomonas_aeruginosa_AZPAE12148_2395_seq.gff	Pseudomonas_aeruginosa_AZPAE12148_2395.gtf	Pseudomonas_aeruginosa_AZPAE12148_2395_genes_and_intergenic.gtf
2394	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12147	Pseudomonas aeruginosa	AZPAE12147	6090	Contig	SAMN03105390	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12147	GCF_000796795.1			168	162330	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12147_2394	Pseudomonas_aeruginosa_AZPAE12147_2394.fna	Pseudomonas_aeruginosa_AZPAE12147_2394.ffn	Pseudomonas_aeruginosa_AZPAE12147_2394_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12147_2394.faa	Pseudomonas_aeruginosa_AZPAE12147_2394.txt	Pseudomonas_aeruginosa_AZPAE12147_2394.csv	Pseudomonas_aeruginosa_AZPAE12147_2394.gbk	Pseudomonas_aeruginosa_AZPAE12147_2394.embl	Pseudomonas_aeruginosa_AZPAE12147_2394.gff	Pseudomonas_aeruginosa_AZPAE12147_2394_seq.gff	Pseudomonas_aeruginosa_AZPAE12147_2394.gtf	Pseudomonas_aeruginosa_AZPAE12147_2394_genes_and_intergenic.gtf
2392	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12146	Pseudomonas aeruginosa	AZPAE12146	5844	Contig	SAMN03105389	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12146	GCF_000796765.1			93	259058	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12146_2392	Pseudomonas_aeruginosa_AZPAE12146_2392.fna	Pseudomonas_aeruginosa_AZPAE12146_2392.ffn	Pseudomonas_aeruginosa_AZPAE12146_2392_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12146_2392.faa	Pseudomonas_aeruginosa_AZPAE12146_2392.txt	Pseudomonas_aeruginosa_AZPAE12146_2392.csv	Pseudomonas_aeruginosa_AZPAE12146_2392.gbk	Pseudomonas_aeruginosa_AZPAE12146_2392.embl	Pseudomonas_aeruginosa_AZPAE12146_2392.gff	Pseudomonas_aeruginosa_AZPAE12146_2392_seq.gff	Pseudomonas_aeruginosa_AZPAE12146_2392.gtf	Pseudomonas_aeruginosa_AZPAE12146_2392_genes_and_intergenic.gtf
2393	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12149	Pseudomonas aeruginosa	AZPAE12149	5867	Contig	SAMN03105392	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12149	GCF_000796785.1			102	149888	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12149_2393	Pseudomonas_aeruginosa_AZPAE12149_2393.fna	Pseudomonas_aeruginosa_AZPAE12149_2393.ffn	Pseudomonas_aeruginosa_AZPAE12149_2393_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12149_2393.faa	Pseudomonas_aeruginosa_AZPAE12149_2393.txt	Pseudomonas_aeruginosa_AZPAE12149_2393.csv	Pseudomonas_aeruginosa_AZPAE12149_2393.gbk	Pseudomonas_aeruginosa_AZPAE12149_2393.embl	Pseudomonas_aeruginosa_AZPAE12149_2393.gff	Pseudomonas_aeruginosa_AZPAE12149_2393_seq.gff	Pseudomonas_aeruginosa_AZPAE12149_2393.gtf	Pseudomonas_aeruginosa_AZPAE12149_2393_genes_and_intergenic.gtf
2391	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12145	Pseudomonas aeruginosa	AZPAE12145	5968	Contig	SAMN03105388	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12145	GCF_000796745.1			95	289576	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12145_2391	Pseudomonas_aeruginosa_AZPAE12145_2391.fna	Pseudomonas_aeruginosa_AZPAE12145_2391.ffn	Pseudomonas_aeruginosa_AZPAE12145_2391_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12145_2391.faa	Pseudomonas_aeruginosa_AZPAE12145_2391.txt	Pseudomonas_aeruginosa_AZPAE12145_2391.csv	Pseudomonas_aeruginosa_AZPAE12145_2391.gbk	Pseudomonas_aeruginosa_AZPAE12145_2391.embl	Pseudomonas_aeruginosa_AZPAE12145_2391.gff	Pseudomonas_aeruginosa_AZPAE12145_2391_seq.gff	Pseudomonas_aeruginosa_AZPAE12145_2391.gtf	Pseudomonas_aeruginosa_AZPAE12145_2391_genes_and_intergenic.gtf
2390	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14715	Pseudomonas aeruginosa	AZPAE14715	6598	Contig	SAMN03105492	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14715	GCF_000796725.1			147	163232	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14715_2390	Pseudomonas_aeruginosa_AZPAE14715_2390.fna	Pseudomonas_aeruginosa_AZPAE14715_2390.ffn	Pseudomonas_aeruginosa_AZPAE14715_2390_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14715_2390.faa	Pseudomonas_aeruginosa_AZPAE14715_2390.txt	Pseudomonas_aeruginosa_AZPAE14715_2390.csv	Pseudomonas_aeruginosa_AZPAE14715_2390.gbk	Pseudomonas_aeruginosa_AZPAE14715_2390.embl	Pseudomonas_aeruginosa_AZPAE14715_2390.gff	Pseudomonas_aeruginosa_AZPAE14715_2390_seq.gff	Pseudomonas_aeruginosa_AZPAE14715_2390.gtf	Pseudomonas_aeruginosa_AZPAE14715_2390_genes_and_intergenic.gtf
2389	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12144	Pseudomonas aeruginosa	AZPAE12144	5992	Contig	SAMN03105387	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12144	GCF_000796705.1			167	97162	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12144_2389	Pseudomonas_aeruginosa_AZPAE12144_2389.fna	Pseudomonas_aeruginosa_AZPAE12144_2389.ffn	Pseudomonas_aeruginosa_AZPAE12144_2389_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12144_2389.faa	Pseudomonas_aeruginosa_AZPAE12144_2389.txt	Pseudomonas_aeruginosa_AZPAE12144_2389.csv	Pseudomonas_aeruginosa_AZPAE12144_2389.gbk	Pseudomonas_aeruginosa_AZPAE12144_2389.embl	Pseudomonas_aeruginosa_AZPAE12144_2389.gff	Pseudomonas_aeruginosa_AZPAE12144_2389_seq.gff	Pseudomonas_aeruginosa_AZPAE12144_2389.gtf	Pseudomonas_aeruginosa_AZPAE12144_2389_genes_and_intergenic.gtf
2388	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12143	Pseudomonas aeruginosa	AZPAE12143	6064	Contig	SAMN03105386	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12143	GCF_000796685.1			141	205250	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12143_2388	Pseudomonas_aeruginosa_AZPAE12143_2388.fna	Pseudomonas_aeruginosa_AZPAE12143_2388.ffn	Pseudomonas_aeruginosa_AZPAE12143_2388_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12143_2388.faa	Pseudomonas_aeruginosa_AZPAE12143_2388.txt	Pseudomonas_aeruginosa_AZPAE12143_2388.csv	Pseudomonas_aeruginosa_AZPAE12143_2388.gbk	Pseudomonas_aeruginosa_AZPAE12143_2388.embl	Pseudomonas_aeruginosa_AZPAE12143_2388.gff	Pseudomonas_aeruginosa_AZPAE12143_2388_seq.gff	Pseudomonas_aeruginosa_AZPAE12143_2388.gtf	Pseudomonas_aeruginosa_AZPAE12143_2388_genes_and_intergenic.gtf
2385	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12140	Pseudomonas aeruginosa	AZPAE12140	5748	Contig	SAMN03105384	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12140	GCF_000796615.1			73	172848	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12140_2385	Pseudomonas_aeruginosa_AZPAE12140_2385.fna	Pseudomonas_aeruginosa_AZPAE12140_2385.ffn	Pseudomonas_aeruginosa_AZPAE12140_2385_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12140_2385.faa	Pseudomonas_aeruginosa_AZPAE12140_2385.txt	Pseudomonas_aeruginosa_AZPAE12140_2385.csv	Pseudomonas_aeruginosa_AZPAE12140_2385.gbk	Pseudomonas_aeruginosa_AZPAE12140_2385.embl	Pseudomonas_aeruginosa_AZPAE12140_2385.gff	Pseudomonas_aeruginosa_AZPAE12140_2385_seq.gff	Pseudomonas_aeruginosa_AZPAE12140_2385.gtf	Pseudomonas_aeruginosa_AZPAE12140_2385_genes_and_intergenic.gtf
2386	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14722	Pseudomonas aeruginosa	AZPAE14722	6416	Contig	SAMN03105499	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14722	GCF_000796645.1			137	176499	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14722_2386	Pseudomonas_aeruginosa_AZPAE14722_2386.fna	Pseudomonas_aeruginosa_AZPAE14722_2386.ffn	Pseudomonas_aeruginosa_AZPAE14722_2386_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14722_2386.faa	Pseudomonas_aeruginosa_AZPAE14722_2386.txt	Pseudomonas_aeruginosa_AZPAE14722_2386.csv	Pseudomonas_aeruginosa_AZPAE14722_2386.gbk	Pseudomonas_aeruginosa_AZPAE14722_2386.embl	Pseudomonas_aeruginosa_AZPAE14722_2386.gff	Pseudomonas_aeruginosa_AZPAE14722_2386_seq.gff	Pseudomonas_aeruginosa_AZPAE14722_2386.gtf	Pseudomonas_aeruginosa_AZPAE14722_2386_genes_and_intergenic.gtf
2387	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12142	Pseudomonas aeruginosa	AZPAE12142	5888	Contig	SAMN03105385	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12142	GCF_000796655.1			143	143288	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12142_2387	Pseudomonas_aeruginosa_AZPAE12142_2387.fna	Pseudomonas_aeruginosa_AZPAE12142_2387.ffn	Pseudomonas_aeruginosa_AZPAE12142_2387_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12142_2387.faa	Pseudomonas_aeruginosa_AZPAE12142_2387.txt	Pseudomonas_aeruginosa_AZPAE12142_2387.csv	Pseudomonas_aeruginosa_AZPAE12142_2387.gbk	Pseudomonas_aeruginosa_AZPAE12142_2387.embl	Pseudomonas_aeruginosa_AZPAE12142_2387.gff	Pseudomonas_aeruginosa_AZPAE12142_2387_seq.gff	Pseudomonas_aeruginosa_AZPAE12142_2387.gtf	Pseudomonas_aeruginosa_AZPAE12142_2387_genes_and_intergenic.gtf
2382	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12135	Pseudomonas aeruginosa	AZPAE12135	6503	Contig	SAMN03105380	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12135	GCF_000796545.1			313	101387	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12135_2382	Pseudomonas_aeruginosa_AZPAE12135_2382.fna	Pseudomonas_aeruginosa_AZPAE12135_2382.ffn	Pseudomonas_aeruginosa_AZPAE12135_2382_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12135_2382.faa	Pseudomonas_aeruginosa_AZPAE12135_2382.txt	Pseudomonas_aeruginosa_AZPAE12135_2382.csv	Pseudomonas_aeruginosa_AZPAE12135_2382.gbk	Pseudomonas_aeruginosa_AZPAE12135_2382.embl	Pseudomonas_aeruginosa_AZPAE12135_2382.gff	Pseudomonas_aeruginosa_AZPAE12135_2382_seq.gff	Pseudomonas_aeruginosa_AZPAE12135_2382.gtf	Pseudomonas_aeruginosa_AZPAE12135_2382_genes_and_intergenic.gtf
2383	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12136	Pseudomonas aeruginosa	AZPAE12136	5779	Contig	SAMN03105381	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12136	GCF_000796555.1			132	226089	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12136_2383	Pseudomonas_aeruginosa_AZPAE12136_2383.fna	Pseudomonas_aeruginosa_AZPAE12136_2383.ffn	Pseudomonas_aeruginosa_AZPAE12136_2383_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12136_2383.faa	Pseudomonas_aeruginosa_AZPAE12136_2383.txt	Pseudomonas_aeruginosa_AZPAE12136_2383.csv	Pseudomonas_aeruginosa_AZPAE12136_2383.gbk	Pseudomonas_aeruginosa_AZPAE12136_2383.embl	Pseudomonas_aeruginosa_AZPAE12136_2383.gff	Pseudomonas_aeruginosa_AZPAE12136_2383_seq.gff	Pseudomonas_aeruginosa_AZPAE12136_2383.gtf	Pseudomonas_aeruginosa_AZPAE12136_2383_genes_and_intergenic.gtf
2384	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12137	Pseudomonas aeruginosa	AZPAE12137	5818	Contig	SAMN03105382	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12137	GCF_000796585.1			108	225841	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12137_2384	Pseudomonas_aeruginosa_AZPAE12137_2384.fna	Pseudomonas_aeruginosa_AZPAE12137_2384.ffn	Pseudomonas_aeruginosa_AZPAE12137_2384_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12137_2384.faa	Pseudomonas_aeruginosa_AZPAE12137_2384.txt	Pseudomonas_aeruginosa_AZPAE12137_2384.csv	Pseudomonas_aeruginosa_AZPAE12137_2384.gbk	Pseudomonas_aeruginosa_AZPAE12137_2384.embl	Pseudomonas_aeruginosa_AZPAE12137_2384.gff	Pseudomonas_aeruginosa_AZPAE12137_2384_seq.gff	Pseudomonas_aeruginosa_AZPAE12137_2384.gtf	Pseudomonas_aeruginosa_AZPAE12137_2384_genes_and_intergenic.gtf
2381	pgd_r_15_2	Pseudomonas aeruginosa AZPAE12138	Pseudomonas aeruginosa	AZPAE12138	6188	Contig	SAMN03105383	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE12138	GCF_000796525.1			165	137820	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE12138_2381	Pseudomonas_aeruginosa_AZPAE12138_2381.fna	Pseudomonas_aeruginosa_AZPAE12138_2381.ffn	Pseudomonas_aeruginosa_AZPAE12138_2381_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE12138_2381.faa	Pseudomonas_aeruginosa_AZPAE12138_2381.txt	Pseudomonas_aeruginosa_AZPAE12138_2381.csv	Pseudomonas_aeruginosa_AZPAE12138_2381.gbk	Pseudomonas_aeruginosa_AZPAE12138_2381.embl	Pseudomonas_aeruginosa_AZPAE12138_2381.gff	Pseudomonas_aeruginosa_AZPAE12138_2381_seq.gff	Pseudomonas_aeruginosa_AZPAE12138_2381.gtf	Pseudomonas_aeruginosa_AZPAE12138_2381_genes_and_intergenic.gtf
2380	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14538	Pseudomonas aeruginosa	AZPAE14538	5771	Contig	SAMN03105460	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14538	GCF_000796505.1			95	312427	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14538_2380	Pseudomonas_aeruginosa_AZPAE14538_2380.fna	Pseudomonas_aeruginosa_AZPAE14538_2380.ffn	Pseudomonas_aeruginosa_AZPAE14538_2380_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14538_2380.faa	Pseudomonas_aeruginosa_AZPAE14538_2380.txt	Pseudomonas_aeruginosa_AZPAE14538_2380.csv	Pseudomonas_aeruginosa_AZPAE14538_2380.gbk	Pseudomonas_aeruginosa_AZPAE14538_2380.embl	Pseudomonas_aeruginosa_AZPAE14538_2380.gff	Pseudomonas_aeruginosa_AZPAE14538_2380_seq.gff	Pseudomonas_aeruginosa_AZPAE14538_2380.gtf	Pseudomonas_aeruginosa_AZPAE14538_2380_genes_and_intergenic.gtf
2379	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14535	Pseudomonas aeruginosa	AZPAE14535	6494	Contig	SAMN03105459	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14535	GCF_000796475.1			120	173675	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14535_2379	Pseudomonas_aeruginosa_AZPAE14535_2379.fna	Pseudomonas_aeruginosa_AZPAE14535_2379.ffn	Pseudomonas_aeruginosa_AZPAE14535_2379_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14535_2379.faa	Pseudomonas_aeruginosa_AZPAE14535_2379.txt	Pseudomonas_aeruginosa_AZPAE14535_2379.csv	Pseudomonas_aeruginosa_AZPAE14535_2379.gbk	Pseudomonas_aeruginosa_AZPAE14535_2379.embl	Pseudomonas_aeruginosa_AZPAE14535_2379.gff	Pseudomonas_aeruginosa_AZPAE14535_2379_seq.gff	Pseudomonas_aeruginosa_AZPAE14535_2379.gtf	Pseudomonas_aeruginosa_AZPAE14535_2379_genes_and_intergenic.gtf
2378	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14526	Pseudomonas aeruginosa	AZPAE14526	5788	Contig	SAMN03105457	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14526	GCF_000796445.1			63	225664	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14526_2378	Pseudomonas_aeruginosa_AZPAE14526_2378.fna	Pseudomonas_aeruginosa_AZPAE14526_2378.ffn	Pseudomonas_aeruginosa_AZPAE14526_2378_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14526_2378.faa	Pseudomonas_aeruginosa_AZPAE14526_2378.txt	Pseudomonas_aeruginosa_AZPAE14526_2378.csv	Pseudomonas_aeruginosa_AZPAE14526_2378.gbk	Pseudomonas_aeruginosa_AZPAE14526_2378.embl	Pseudomonas_aeruginosa_AZPAE14526_2378.gff	Pseudomonas_aeruginosa_AZPAE14526_2378_seq.gff	Pseudomonas_aeruginosa_AZPAE14526_2378.gtf	Pseudomonas_aeruginosa_AZPAE14526_2378_genes_and_intergenic.gtf
2376	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14505	Pseudomonas aeruginosa	AZPAE14505	6379	Contig	SAMN03105455	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14505	GCF_000796405.1			146	158199	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14505_2376	Pseudomonas_aeruginosa_AZPAE14505_2376.fna	Pseudomonas_aeruginosa_AZPAE14505_2376.ffn	Pseudomonas_aeruginosa_AZPAE14505_2376_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14505_2376.faa	Pseudomonas_aeruginosa_AZPAE14505_2376.txt	Pseudomonas_aeruginosa_AZPAE14505_2376.csv	Pseudomonas_aeruginosa_AZPAE14505_2376.gbk	Pseudomonas_aeruginosa_AZPAE14505_2376.embl	Pseudomonas_aeruginosa_AZPAE14505_2376.gff	Pseudomonas_aeruginosa_AZPAE14505_2376_seq.gff	Pseudomonas_aeruginosa_AZPAE14505_2376.gtf	Pseudomonas_aeruginosa_AZPAE14505_2376_genes_and_intergenic.gtf
2377	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14509	Pseudomonas aeruginosa	AZPAE14509	6072	Contig	SAMN03105456	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14509	GCF_000796425.1			95	213733	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14509_2377	Pseudomonas_aeruginosa_AZPAE14509_2377.fna	Pseudomonas_aeruginosa_AZPAE14509_2377.ffn	Pseudomonas_aeruginosa_AZPAE14509_2377_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14509_2377.faa	Pseudomonas_aeruginosa_AZPAE14509_2377.txt	Pseudomonas_aeruginosa_AZPAE14509_2377.csv	Pseudomonas_aeruginosa_AZPAE14509_2377.gbk	Pseudomonas_aeruginosa_AZPAE14509_2377.embl	Pseudomonas_aeruginosa_AZPAE14509_2377.gff	Pseudomonas_aeruginosa_AZPAE14509_2377_seq.gff	Pseudomonas_aeruginosa_AZPAE14509_2377.gtf	Pseudomonas_aeruginosa_AZPAE14509_2377_genes_and_intergenic.gtf
2375	pgd_r_15_2	Pseudomonas aeruginosa AZPAE14499	Pseudomonas aeruginosa	AZPAE14499	6322	Contig	SAMN03105454	Homo sapiens	human	9606	http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606	AZPAE14499	GCF_000796385.1			125	165972	http://www.pseudomonas.com/downloads/pseudomonas/pgd_r_15_2/Pseudomonas_aeruginosa_AZPAE14499_2375	Pseudomonas_aeruginosa_AZPAE14499_2375.fna	Pseudomonas_aeruginosa_AZPAE14499_2375.ffn	Pseudomonas_aeruginosa_AZPAE14499_2375_intergenic.fasta	Pseudomonas_aeruginosa_AZPAE14499_2375.faa	Pseudomonas_aeruginosa_AZPAE14499_2375.txt	Pseudomonas_aeruginosa_AZPAE14499_2375.csv	Pseudomonas_aeruginosa_AZPAE14499_2375.gbk	Pseudomonas_aeruginosa_AZPAE14499_2375.embl	Pseudomonas_aeruginosa_AZPAE14499_2375.gff	Pseudomonas_aeruginosa_AZPAE14499_2375_seq.gff	Pseudomonas_aeruginosa_AZPAE14499_2375.gtf	Pseudomonas_aeruginosa_AZPAE14499_2375_genes_and_intergenic.gtf
